name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
santa barbara,2023-06-14,28.3,19,21.8,29.4,19,21.9,18.8,83.7,22.3,100,45.83,rain,0,0,19.8,19.7,70.6,1012.9,95.7,11.1,181.8,15.7,8,30,2023-06-14T05:15:49,2023-06-14T17:58:09,0.88,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,"MROC,F2558,MRPV"
santa barbara,2023-06-15,27.4,17.6,21,28.1,17.6,21,18.1,85.1,15.1,100,41.67,rain,0,0,9.7,6.5,37.9,1011.3,99.1,19.4,196.8,16.9,9,30,2023-06-15T05:16:00,2023-06-15T17:58:24,0.91,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
santa barbara,2023-06-16,25.5,18.4,20.8,25.5,18.4,20.8,18.7,88.3,38.4,100,62.5,rain,0,0,14.4,6.1,42.2,1011.8,89.1,14.5,191,16.5,9,30,2023-06-16T05:16:11,2023-06-16T17:58:39,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
santa barbara,2023-06-17,24.9,17.5,20.4,24.9,17.5,20.4,18.5,89.9,10.8,100,54.17,rain,0,0,11.9,7.9,0.7,1011.8,91.2,19.4,209.9,18.2,8,30,2023-06-17T05:16:22,2023-06-17T17:58:53,0,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
santa barbara,2023-06-18,21.4,18.4,19.2,21.4,18.4,19.2,18.5,95.9,12.8,100,70.83,rain,0,0,6.1,5,6.1,1011.8,99.7,15.2,48.7,4.2,4,10,2023-06-18T05:16:34,2023-06-18T17:59:07,0.02,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
santa barbara,2023-06-19,26.5,18.3,21.2,26.5,18.3,21.2,18.5,85.8,3.3,100,16.67,rain,0,0,9.4,9.7,222.7,1011.3,66.5,21.4,266.5,23,9,30,2023-06-19T05:16:46,2023-06-19T17:59:21,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
santa barbara,2023-06-20,26.8,18.9,21.4,27.9,18.9,21.5,19.1,87.8,8.4,100,20.83,rain,0,0,6.8,9.7,216.1,1011.3,95.2,23.4,245.1,21,9,30,2023-06-20T05:16:58,2023-06-20T17:59:35,0.08,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
santa barbara,2023-06-21,26.2,19,21.3,26.2,19,21.3,19.3,89,24.4,100,20.83,rain,0,0,7.9,9.7,212.7,1011.5,85.6,21.3,242.8,21,9,30,2023-06-21T05:17:11,2023-06-21T17:59:48,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
santa barbara,2023-06-22,25.7,18.5,21.5,25.7,18.5,21.5,19.1,87,18.4,100,25,rain,0,0,5,5.8,43.8,1012.3,84.9,19,293,24.9,8,30,2023-06-22T05:17:24,2023-06-22T18:00:00,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
santa barbara,2023-06-23,28,18,21.5,28.9,18,21.5,18.3,83.8,5.8,100,16.67,rain,0,0,8.6,7.2,80.4,1012.5,98.6,21.7,259,22.5,9,30,2023-06-23T05:17:38,2023-06-23T18:00:13,0.18,"Rain, Overcast",Cloudy skies throughout the day with storms possible.,rain,
santa barbara,2023-06-24,22.5,18.1,19.9,22.5,18.1,19.9,18.6,92,9,100,33.33,rain,0,0,7.2,5.8,64.5,1013,97.3,20.2,113.9,9.6,3,10,2023-06-24T05:17:51,2023-06-24T18:00:25,0.21,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,
santa barbara,2023-06-25,25,17.1,20.4,25,17.1,20.4,18,86.5,12.8,100,16.67,rain,0,0,5.8,6.5,21.8,1012,75.4,16.5,209.5,18.3,8,30,2023-06-25T05:18:05,2023-06-25T18:00:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
santa barbara,2023-06-26,24.8,18.1,20.9,24.8,18.1,20.9,18.9,88.8,12.2,95.2,20.83,rain,0,0,9.4,6.6,37.9,1011.4,89.4,18.8,226.1,19.5,7,30,2023-06-26T05:18:20,2023-06-26T18:00:47,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
santa barbara,2023-06-27,27.5,17.3,21.3,28.4,17.3,21.3,18.3,84.5,10.8,95.2,16.67,rain,0,0,9.4,7.2,43.2,1011.1,84.7,23.5,274.8,23.7,9,30,2023-06-27T05:18:34,2023-06-27T18:00:57,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
santa barbara,2023-06-28,22.8,18.6,20.3,22.8,18.6,20.3,19,91.9,19.8,100,29.17,rain,0,0,7.9,6.1,35.9,1011.1,81.6,15.4,149.5,13.1,5,30,2023-06-28T05:18:49,2023-06-28T18:01:07,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,
